 v-sweep         v(gate)         i(Vds)         
 0.00000000e+00  3.90126784e-07 -9.24240776e-08 
 1.00000000e-02  2.05970453e-02 -1.16136599e-07 
 2.00000000e-02  1.53647345e-02 -1.46495858e-07 
 3.00000000e-02 -6.64461908e-01 -1.85252693e-07 
 4.00000000e-02  5.01470262e-02 -2.34592375e-07 
 5.00000000e-02  7.78690068e-02 -2.97231445e-07 
 6.00000000e-02  4.80006678e-02 -3.76526609e-07 
 7.00000000e-02  5.60006566e-02 -4.76637860e-07 
 8.00000000e-02  6.40008003e-02 -6.02627558e-07 
 9.00000000e-02  7.19997453e-02 -7.60697738e-07 
 1.00000000e-01  8.00015752e-02 -9.58366719e-07 
 1.10000000e-01  8.80002311e-02 -1.20470637e-06 
 1.20000000e-01  9.59989144e-02 -1.51060026e-06 
 1.30000000e-01  1.03998687e-01 -1.88902770e-06 
 1.40000000e-01  1.12000900e-01 -2.35537095e-06 
 1.50000000e-01  1.20002611e-01 -2.92774014e-06 
 1.60000000e-01  1.28000819e-01 -3.62730573e-06 
 1.70000000e-01  1.36001451e-01 -4.47862180e-06 
 1.80000000e-01  1.44000801e-01 -5.50991459e-06 
 1.90000000e-01  1.52002804e-01 -6.75329969e-06 
 2.00000000e-01  1.60001961e-01 -8.24487975e-06 
 2.10000000e-01  1.68003143e-01 -1.00246644e-05 
 2.20000000e-01  1.76001642e-01 -1.21362502e-05 
 2.30000000e-01  1.84004319e-01 -1.46262015e-05 
 2.40000000e-01  1.92005664e-01 -1.75430950e-05 
 2.50000000e-01  2.00003527e-01 -2.09362170e-05 
 2.60000000e-01  2.08006601e-01 -2.48539543e-05 
 2.70000000e-01  2.16003808e-01 -2.93419633e-05 
 2.80000000e-01  2.24010276e-01 -3.44412521e-05 
 2.90000000e-01  2.32011949e-01 -4.01863395e-05 
 3.00000000e-01  2.40007161e-01 -4.66036624e-05 
 3.10000000e-01  2.48011582e-01 -5.37103835e-05 
 3.20000000e-01  2.56006421e-01 -6.15137059e-05 
 3.30000000e-01  2.64015811e-01 -7.00107429e-05 
 3.40000000e-01  2.72014477e-01 -7.91157501e-05 
 3.50000000e-01  2.80023661e-01 -8.89536403e-05 
 3.60000000e-01  2.88025098e-01 -9.94108542e-05 
 3.70000000e-01  2.96021302e-01 -1.10451452e-04 
 3.80000000e-01  3.04024057e-01 -1.22034291e-04 
 3.90000000e-01  3.12032264e-01 -1.34115527e-04 
